,name,injury,status,position,season,week
245,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,2
260,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,2
12,"Cunningham, Jerome",knee,Out,TE,2015,3
13,"Fells, Daniel",foot,Probable,TE,2015,3
32,"Pitta, Dennis",hip,Day-to-Day,TE,2015,3
35,"Taliaferro, Lorenzo",foot,Questionable,RB,2015,3
46,"Brockel, Richie",shoulder,Probable,TE,2015,3
56,"Stewart, Jonathan",knee,Questionable,RB,2015,3
58,"Whittaker, Fozzy",shoulder,Questionable,RB,2015,3
62,"Olawale, Jamize",ankle,Questionable,RB,2015,3
76,"Coleman, Tevin",ribs,Out,RB,2015,3
78,"Freeman, Devonta",hamstring,Day-to-Day,RB,2015,3
83,"Tamme, Jacob",concussion,Day-to-Day,TE,2015,3
87,"Hanna, James",knee,Probable,TE,2015,3
95,"Witten, Jason","ankle, knee",Probable,TE,2015,3
102,"Seferian-Jenkins, Austin",shoulder,Out,TE,2015,3
109,"Fiedorowicz, C.J.",knee,Questionable,TE,2015,3
110,"Foster, Arian",groin,Out,RB,2015,3
111,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,3
112,"Grimes, Jonathan",knee,Questionable,RB,2015,3
114,"Miller, Lamar",ankle,Questionable,RB,2015,3
135,"Gerhart, Toby",abdomen,Probable,RB,2015,3
139,"Ivory, Chris",quadriceps,Questionable,RB,2015,3
144,"Robinson, Denard",knee,Doubtful,RB,2015,3
145,"Thomas, Julius",hand,Out,TE,2015,3
146,"Yeldon, T.J.",sprained finger left hand,Day-to-Day,RB,2015,3
156,"Burton, Trey",shoulder,Probable,TE,2015,3
163,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,3
169,"Forte, Matt",knee,Probable,RB,2015,3
181,"Green, Ladarius",concussion,Questionable,TE,2015,3
191,"Gurley, Todd",knee,Questionable,RB,2015,3
194,"Mason, Tre",hamstring,Day-to-Day,RB,2015,3
195,"Reynolds, Chase",knee,Out,RB,2015,3
197,"Allen, Dwayne",ankle,Out,TE,2015,3
201,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,3
210,"Turbin, Robert",ankle,Out,RB,2015,3
212,"Andrews, Antonio",hamstring,Probable,RB,2015,3
213,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,3
218,"Murray, DeMarco",hamstring,Questionable,RB,2015,3
220,"Walker, Delanie",hand,Probable,TE,2015,3
222,"Bell, Blake",back,Probable,TE,2015,3
224,"Bush, Reggie",calf,Doubtful,RB,2015,3
226,"Hyde, Carlos",quadriceps,Probable,RB,2015,3
227,"McDonald, Vance",knee,Questionable,TE,2015,3
230,"Ellington, Andre",knee,Doubtful,RB,2015,3
234,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,3
247,"McCoy, LeSean",hamstring,Probable,RB,2015,3
252,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,3
256,"Cameron, Jordan",groin,Questionable,TE,2015,3
261,"Sims, Dion",concussion,Doubtful,TE,2015,3
276,"Lynch, Marshawn",calf,Questionable,RB,2015,3
281,"Willson, Luke",back,Questionable,TE,2015,3
282,"Anderson, C.J.","ankle, toe",Probable,RB,2015,3
293,"Bell, Joique",knee,Day-to-Day,RB,2015,3
300,"Pettigrew, Brandon",hamstring,Out,TE,2015,3
307,"Harris, Demetrius",foot,Probable,TE,2015,3
310,"West, Charcandrick",Achilles,Probable,RB,2015,3
318,"Lacy, Eddie",ankle,Questionable,RB,2015,3
321,"Quarless, Andrew",knee,Day-to-Day,TE,2015,3
323,"Ripkowski, Aaron",shoulder,Questionable,RB,2015,3
1,"Gillmore, Crockett",calf,Out,TE,2015,4
5,"Pitta, Dennis",hip,Day-to-Day,TE,2015,4
9,"Green, Ladarius",concussion,Day-to-Day,TE,2015,4
15,"Spaeth, Matt",hand,Out,TE,2015,4
18,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,4
33,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,4
38,"Cameron, Jordan",groin,Questionable,TE,2015,4
42,"Sims, Dion",concussion,Out,TE,2015,4
47,"Foster, Arian",groin,Questionable,RB,2015,4
48,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,4
49,"Grimes, Jonathan",knee,Out,RB,2015,4
51,"Miller, Lamar",ankle,Day-to-Day,RB,2015,4
56,"Coleman, Tevin",ribs,Out,RB,2015,4
57,"Freeman, Devonta",toe,Probable,RB,2015,4
61,"Tamme, Jacob",concussion,Out,TE,2015,4
65,"Cunningham, Jerome",knee,Out,TE,2015,4
66,"Darkwa, Orleans",knee,Probable,RB,2015,4
67,"Fells, Daniel",ankle,Questionable,TE,2015,4
79,"McCoy, LeSean",hamstring,Out,RB,2015,4
84,"Williams, Karlos",concussion,Day-to-Day,RB,2015,4
88,"Jones, Taiwan",foot,Questionable,RB,2015,4
91,"Olawale, Jamize",ankle,Probable,RB,2015,4
120,"Gray, Jonas",calf,Questionable,RB,2015,4
124,"Ivory, Chris",quadriceps,Probable,RB,2015,4
130,"Robinson, Denard",knee,Out,RB,2015,4
132,"Thomas, Julius",hand,Out,TE,2015,4
133,"Yeldon, T.J.",sprained finger left hand,Day-to-Day,RB,2015,4
134,"Allen, Dwayne",ankle,Questionable,TE,2015,4
138,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,4
141,"Robinson, Josh",back,Probable,RB,2015,4
145,"Turbin, Robert",ankle,Out,RB,2015,4
146,"Varga, Tyler",concussion,Out,RB,2015,4
158,"Stewart, Jonathan",tibia,Probable,RB,2015,4
160,"Tolbert, Mike",groin,Probable,RB,2015,4
168,"Martin, Doug","knee, quadriceps",Questionable,RB,2015,4
170,"Seferian-Jenkins, Austin",shoulder,Doubtful,TE,2015,4
174,"Stocker, Luke",hip,Doubtful,TE,2015,4
177,"Burton, Trey",shoulder,Probable,TE,2015,4
186,"Davis, Vernon",knee,Doubtful,TE,2015,4
208,"Cumberland, Jeff",concussion,Out,TE,2015,4
222,"Cunningham, Benny",knee,Probable,RB,2015,4
224,"Gurley, Todd",knee,Day-to-Day,RB,2015,4
226,"Mason, Tre",hamstring,Day-to-Day,RB,2015,4
227,"Reynolds, Chase",knee,Doubtful,RB,2015,4
230,"Ellington, Andre",knee,Questionable,RB,2015,4
234,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,4
251,"Casey, James",knee,Questionable,TE,2015,4
252,"Daniels, Owen",not injury related,Probable,TE,2015,4
257,"Thompson, Juwan",neck,Probable,RB,2015,4
268,"Lacy, Eddie",ankle,Probable,RB,2015,4
271,"Quarless, Andrew",sprained MCL,Injured Reserve (DFR),TE,2015,4
273,"Ripkowski, Aaron",shoulder,Probable,RB,2015,4
279,"Bush, Reggie",calf,Probable,RB,2015,4
280,"Draughn, Shaun",back,Questionable,RB,2015,4
283,"McDonald, Vance",knee,Probable,TE,2015,4
296,"Witten, Jason","ankle, knee",Probable,TE,2015,4
306,"Bell, Joique",ankle,Day-to-Day,RB,2015,4
309,"Lynch, Marshawn",hamstring,Day-to-Day,RB,2015,4
1,"Allen, Dwayne",ankle,Probable,TE,2015,5
4,"Gore, Frank",foot,Probable,RB,2015,5
6,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,5
12,"Varga, Tyler",concussion,Out,RB,2015,5
21,"Foster, Arian",groin,Probable,RB,2015,5
22,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,5
23,"Grimes, Jonathan",hamstring,Out,RB,2015,5
26,"Miller, Lamar",ankle,Day-to-Day,RB,2015,5
29,"Polk, Chris",knee,Questionable,RB,2015,5
36,"Jackson, Fred",ankle,Questionable,RB,2015,5
38,"Lynch, Marshawn",hamstring,Out,RB,2015,5
43,"Hill, Jeremy",knee,Probable,RB,2015,5
61,"Charles, Jamaal",knee,Day-to-Day,RB,2015,5
63,"Kelce, Travis","groin, thumb",Probable,TE,2015,5
65,"O'Shaughnessy, James",hand,Probable,TE,2015,5
69,"Davis, Vernon",knee,Out,TE,2015,5
75,"Jones, Matt",sprained toe,Day-to-Day,RB,2015,5
81,"Reed, Jordan","concussion, knee, ankle",Out,TE,2015,5
84,"Coleman, Tevin",ribs,Probable,RB,2015,5
86,"Freeman, Devonta",hamstring,Day-to-Day,RB,2015,5
90,"Tamme, Jacob",concussion,Probable,TE,2015,5
98,"Johnson Jr., Duke",ankle,Probable,RB,2015,5
108,"Gillmore, Crockett",calf,Out,TE,2015,5
113,"Pitta, Dennis",hip,Day-to-Day,TE,2015,5
116,"Taliaferro, Lorenzo",foot,Probable,RB,2015,5
122,"Gurley, Todd",knee,Day-to-Day,RB,2015,5
124,"Mason, Tre",hamstring,Day-to-Day,RB,2015,5
127,"Reynolds, Chase",knee,Probable,RB,2015,5
138,"Lacy, Eddie",ankle,Day-to-Day,RB,2015,5
141,"Quarless, Andrew",sprained MCL,Injured Reserve (DFR),TE,2015,5
173,"Ivory, Chris",groin,Day-to-Day,RB,2015,5
176,"Lewis, Marcedes",knee,Probable,TE,2015,5
179,"Robinson, Denard",knee,Out,RB,2015,5
181,"Thomas, Julius",hand,Questionable,TE,2015,5
182,"Yeldon, T.J.",sprained finger left hand,Day-to-Day,RB,2015,5
189,"Seferian-Jenkins, Austin",shoulder,Doubtful,TE,2015,5
193,"Stocker, Luke",hip,Questionable,TE,2015,5
195,"Clay, Charles",calf,Probable,TE,2015,5
201,"McCoy, LeSean",hamstring,Out,RB,2015,5
206,"Williams, Karlos",concussion,Out,RB,2015,5
208,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,5
212,"Murray, DeMarco",hamstring,Day-to-Day,RB,2015,5
214,"Walker, Delanie",hand,Day-to-Day,TE,2015,5
219,"Ellington, Andre",knee,Probable,RB,2015,5
220,"Fells, Darren",hip,Questionable,TE,2015,5
225,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,5
232,"Bell, Joique",ankle,Out,RB,2015,5
234,"Ebron, Eric",knee,Out,TE,2015,5
242,"Pettigrew, Brandon",hamstring,Probable,TE,2015,5
259,"Hanna, James",ankle,Questionable,TE,2015,5
265,"Casey, James",knee,Probable,TE,2015,5
266,"Daniels, Owen",not injury related,Probable,TE,2015,5
281,"Jones, Taiwan",foot,Out,RB,2015,5
285,"Murray, Latavius",shoulder,Probable,RB,2015,5
290,"Draughn, Shaun",back,Doubtful,RB,2015,5
292,"McDonald, Vance",chest,Probable,TE,2015,5
299,"Cunningham, Jerome",knee,Probable,TE,2015,5
307,"Green, Ladarius",concussion,Day-to-Day,TE,2015,5
313,"Spaeth, Matt",hand,Probable,TE,2015,5
0,"Coleman, Tevin",hamstring,Day-to-Day,RB,2015,6
2,"Freeman, Devonta",toe,Probable,RB,2015,6
6,"Tamme, Jacob",concussion,Day-to-Day,TE,2015,6
24,"Clay, Charles",calf,Probable,TE,2015,6
32,"McCoy, LeSean",hamstring,Probable,RB,2015,6
38,"Williams, Karlos",concussion,Out,RB,2015,6
41,"Daniels, Owen",not injury related,Probable,TE,2015,6
49,"Thompson, Juwan",hamstring,Questionable,RB,2015,6
53,"Crowell, Isaiah",toe,Questionable,RB,2015,6
76,"Bell, Joique",ankle,Questionable,RB,2015,6
78,"Ebron, Eric",knee,Out,TE,2015,6
84,"Riddick, Theo",groin,Questionable,RB,2015,6
93,"Blue, Alfred",toe,Questionable,RB,2015,6
100,"Fiedorowicz, C.J.",neck,Probable,TE,2015,6
101,"Foster, Arian",groin,Probable,RB,2015,6
102,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,6
103,"Grimes, Jonathan",hamstring,Probable,RB,2015,6
105,"Miller, Lamar",ankle,Day-to-Day,RB,2015,6
108,"Polk, Chris",knee,Probable,RB,2015,6
121,"Ivory, Chris",quadriceps,Probable,RB,2015,6
127,"Pierce, Bernard","concussion, hamstring",Out,RB,2015,6
130,"Robinson, Denard",knee,Probable,RB,2015,6
132,"Thomas, Julius",hand,Probable,TE,2015,6
133,"Yeldon, T.J.",groin,Questionable,RB,2015,6
137,"Kelce, Travis","groin, neck",Probable,TE,2015,6
140,"O'Shaughnessy, James",hand,Probable,TE,2015,6
141,"Parker, Brian",finger,Probable,TE,2015,6
146,"Ellison, Rhett",knee,Probable,TE,2015,6
158,"Davis, Vernon",knee,Questionable,TE,2015,6
164,"Jones, Matt",toe,Questionable,RB,2015,6
169,"Reed, Jordan",concussion,Out,TE,2015,6
172,"Thompson, Chris",shoulder,Probable,RB,2015,6
174,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,6
185,"Powell, Bilal",groin,Questionable,RB,2015,6
194,"Ellington, Andre",knee,Day-to-Day,RB,2015,6
195,"Fells, Darren",hip,Probable,TE,2015,6
201,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,6
209,"Green, Ladarius",concussion,Day-to-Day,TE,2015,6
218,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,6
224,"Cameron, Jordan",groin,Day-to-Day,TE,2015,6
228,"Sims, Dion",concussion,Probable,TE,2015,6
231,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,6
233,"Fasano, Anthony",concussion,Questionable,TE,2015,6
239,"Murray, DeMarco",hamstring,Day-to-Day,RB,2015,6
241,"Walker, Delanie",hand,Day-to-Day,TE,2015,6
246,"Brockel, Richie",hamstring,Doubtful,TE,2015,6
254,"Stewart, Jonathan",leg,Day-to-Day,RB,2015,6
260,"Coffman, Chase",not injury related,Probable,TE,2015,6
265,"Lynch, Marshawn",hamstring,Questionable,RB,2015,6
271,"Cumberland, Jeff",concussion,Probable,TE,2015,6
292,"Lacy, Eddie",ankle,Day-to-Day,RB,2015,6
296,"Quarless, Andrew",sprained MCL,Injured Reserve (DFR),TE,2015,6
303,"Forsett, Justin",ankle,Questionable,RB,2015,6
304,"Gillmore, Crockett",calf,Questionable,TE,2015,6
308,"Pitta, Dennis",hip,Day-to-Day,TE,2015,6
318,"Bush, Reggie",calf,Doubtful,RB,2015,6
319,"Draughn, Shaun",back,Questionable,RB,2015,6
322,"Hyde, Carlos",foot,Questionable,RB,2015,6
323,"McDonald, Vance",chest,Probable,TE,2015,6
325,"Bennett, Martellus",quadriceps,Questionable,TE,2015,6
331,"Lewis, Dion",abdomen,Questionable,RB,2015,6
337,"Allen, Dwayne",ankle,Day-to-Day,TE,2015,6
339,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,6
344,"Turbin, Robert",ankle,Questionable,RB,2015,6
360,"Mathews, Ryan",groin,Questionable,RB,2015,6
11,"Lynch, Marshawn",hamstring,Probable,RB,2015,7
19,"Bush, Reggie",calf,Probable,RB,2015,7
21,"Hyde, Carlos",foot,Questionable,RB,2015,7
22,"McDonald, Vance",chest,Probable,TE,2015,7
32,"McCoy, LeSean",hamstring,Probable,RB,2015,7
37,"Williams, Karlos",concussion,Out,RB,2015,7
45,"Ivory, Chris",groin,Day-to-Day,RB,2015,7
51,"Robinson, Denard",left knee,Day-to-Day,RB,2015,7
53,"Thomas, Julius","chest, hand",Probable,TE,2015,7
54,"Yeldon, T.J.",groin,Questionable,RB,2015,7
65,"Seferian-Jenkins, Austin",shoulder,Out,TE,2015,7
68,"Stocker, Luke",hip,Probable,TE,2015,7
71,"Davis, Vernon",knee,Day-to-Day,TE,2015,7
76,"Jones, Matt",toe,Probable,RB,2015,7
80,"Reed, Jordan",concussion,Questionable,TE,2015,7
82,"Thompson, Chris",back,Doubtful,RB,2015,7
84,"Asiata, Matt",rib,Probable,RB,2015,7
94,"Peterson, Adrian",finger,Probable,RB,2015,7
98,"Bell, Joique",ankle,Probable,RB,2015,7
101,"Ebron, Eric",knee,Probable,TE,2015,7
108,"Pettigrew, Brandon","knee, elbow",Out,TE,2015,7
109,"Riddick, Theo",groin,Probable,RB,2015,7
128,"Allen, Dwayne",ankle,Day-to-Day,TE,2015,7
130,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,7
137,"Green, Ladarius",concussion,Day-to-Day,TE,2015,7
143,"Spaeth, Matt",not injury related,Probable,TE,2015,7
153,"Kelce, Travis",facial laceration,Probable,TE,2015,7
161,"Blue, Alfred",toe,Probable,RB,2015,7
167,"Foster, Arian",groin,Probable,RB,2015,7
168,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,7
169,"Grimes, Jonathan",hamstring,Probable,RB,2015,7
173,"Miller, Lamar",ankle,Day-to-Day,RB,2015,7
176,"Polk, Chris",knee,Probable,RB,2015,7
178,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,7
183,"Cameron, Jordan",groin,Day-to-Day,TE,2015,7
191,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,7
203,"Powell, Bilal",ankle,Out,RB,2015,7
208,"Bolden, Brandon",hamstring,Questionable,RB,2015,7
211,"Harbor, Clay",abdomen,Questionable,TE,2015,7
217,"Lewis, Dion",abdomen,Questionable,RB,2015,7
225,"Barnidge, Gary",ankle,Probable,TE,2015,7
242,"Gurley, Todd",knee,Day-to-Day,RB,2015,7
244,"Kendricks, Lance",hand,Questionable,TE,2015,7
245,"Mason, Tre",ankle,Questionable,RB,2015,7
249,"Coleman, Tevin",hamstring,Day-to-Day,RB,2015,7
251,"Freeman, Devonta",hamstring,Day-to-Day,RB,2015,7
255,"Tamme, Jacob",concussion,Day-to-Day,TE,2015,7
259,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,7
266,"McCluster, Dexter",illness,Probable,RB,2015,7
268,"Murray, DeMarco",hamstring,Day-to-Day,RB,2015,7
269,"Walker, Delanie",hand,Day-to-Day,TE,2015,7
274,"Jones, Taiwan",foot,Probable,RB,2015,7
275,"Murray, Latavius",shoulder,Probable,RB,2015,7
283,"Gates, Antonio",knee,Questionable,TE,2015,7
284,"Gordon, Melvin",ankle,Questionable,RB,2015,7
296,"Hanna, James",ankle,Questionable,TE,2015,7
328,"Brockel, Richie",hamstring,Out,TE,2015,7
337,"Stewart, Jonathan",leg,Day-to-Day,RB,2015,7
345,"Gillmore, Crockett",calf,Day-to-Day,TE,2015,7
350,"Pitta, Dennis",hip,Day-to-Day,TE,2015,7
357,"Williams, Maxx","knee, ankle",Out,TE,2015,7
361,"Ellington, Andre",knee,Day-to-Day,RB,2015,7
362,"Fells, Darren",shoulder,Out,TE,2015,7
368,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,7
0,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,8
5,"Cameron, Jordan",groin,Day-to-Day,TE,2015,8
14,"Bolden, Brandon",hamstring,Questionable,RB,2015,8
21,"Lewis, Dion",abdomen,Questionable,RB,2015,8
27,"Bell, Joique",ankle,Probable,RB,2015,8
29,"Ebron, Eric",knee,Day-to-Day,TE,2015,8
35,"Pettigrew, Brandon",elbow,Probable,TE,2015,8
45,"Kelce, Travis",groin,Probable,TE,2015,8
50,"West, Charcandrick",pectoral,Probable,RB,2015,8
60,"Seferian-Jenkins, Austin",shoulder,Doubtful,TE,2015,8
65,"Coleman, Tevin",hamstring,Day-to-Day,RB,2015,8
66,"Freeman, Devonta",hamstring,Day-to-Day,RB,2015,8
70,"Tamme, Jacob",concussion,Day-to-Day,TE,2015,8
75,"Gates, Antonio",knee,Questionable,TE,2015,8
76,"Gordon, Melvin",ankle,Probable,RB,2015,8
87,"Gillmore, Crockett",calf,Day-to-Day,TE,2015,8
92,"Pitta, Dennis",hip,Day-to-Day,TE,2015,8
99,"Williams, Maxx","knee, ankle",Questionable,TE,2015,8
103,"Ellison, Rhett",concussion,Out,TE,2015,8
108,"Line, Zach",neck,Probable,RB,2015,8
110,"Peterson, Adrian","hip, finger, ankle",Probable,RB,2015,8
118,"Housler, Rob",hamstring,Out,TE,2015,8
128,"Ellington, Andre",knee,Day-to-Day,RB,2015,8
129,"Fells, Darren",shoulder,Out,TE,2015,8
135,"Momah, Ifeanyi",knee,Day-to-Day,TE,2015,8
141,"Crowell, Isaiah",ribs,Probable,RB,2015,8
155,"Cobb, David",calf,Injured Reserve (DFR),RB,2015,8
163,"Murray, DeMarco",hamstring,Day-to-Day,RB,2015,8
164,"Walker, Delanie",hand,Day-to-Day,TE,2015,8
168,"Foster, Arian",torn right Achilles,Day-to-Day,RB,2015,8
169,"Griffin, Ryan",sprained MCL,Injured Reserve (DFR),TE,2015,8
174,"Miller, Lamar",ankle,Day-to-Day,RB,2015,8
176,"Polk, Chris",knee,Probable,RB,2015,8
177,"Prosch, Jay",knee,Probable,RB,2015,8
206,"Green, Ladarius",concussion,Day-to-Day,TE,2015,8
209,"Miller, Heath",not injury related,Probable,TE,2015,8
213,"Spaeth, Matt",not injury related,Probable,TE,2015,8
221,"Bush, Reggie",left knee,Day-to-Day,RB,2015,8
222,"Hyde, Carlos",foot,Out,RB,2015,8
229,"Gurley, Todd",knee,Day-to-Day,RB,2015,8
232,"Kendricks, Lance",thumb,Probable,TE,2015,8
233,"Mason, Tre",ankle,Questionable,RB,2015,8
238,"Amaro, Jace",torn labrum,Day-to-Day,TE,2015,8
244,"Forte, Matt",right knee,Day-to-Day,RB,2015,8
251,"Powell, Bilal",ankle,Out,RB,2015,8
271,"Coleman, Derrick",concussion,Probable,RB,2015,8
276,"Lynch, Marshawn",hamstring,Probable,RB,2015,8
278,"Rawls, Thomas",calf,Probable,RB,2015,8
283,"Hanna, James",ankle,Probable,TE,2015,8
285,"Randle, Joseph",back,Out,RB,2015,8
292,"Lacy, Eddie",ankle,Day-to-Day,RB,2015,8
297,"Quarless, Andrew",sprained MCL,Injured Reserve (DFR),TE,2015,8
300,"Starks, James",hip,Questionable,RB,2015,8
301,"Daniels, Owen",shoulder,Probable,TE,2015,8
311,"Thompson, Juwan",hamstring,Probable,RB,2015,8
314,"Allen, Dwayne",ankle,Day-to-Day,TE,2015,8
318,"Herron, Daniel",shoulder,Day-to-Day,RB,2015,8
334,"Stewart, Jonathan",leg,Day-to-Day,RB,2015,8
336,"Tolbert, Mike",not injury related,Probable,RB,2015,8
15,"Ajayi, Jay",cracked rib,Day-to-Day,RB,2015,9
19,"Cameron, Jordan",hamstring,Questionable,TE,2015,9
29,"Williams, Damien",thumb,Questionable,RB,2015,9
36,"McCoy, LeSean",hamstring,Day-to-Day,RB,2015,9
41,"Williams, Karlos",concussion,Probable,RB,2015,9
46,"Lacy, Eddie",ankle,Day-to-Day,RB,2015,9
53,"Quarless, Andrew",sprained MCL,Injured Reserve (DFR),TE,2015,9
54,"Ripkowski, Aaron",illness,Probable,RB,2015,9
61,"Dickson, Ed",hamstring,Probable,TE,2015,9
69,"Stewart, Jonathan",leg,Day-to-Day,RB,2015,9
